,energy,id,tempo,valence,artista,letra,link,nome
1980,0.717,5cBIMjPnVCCTMZaKcAEq2O,148.126,0.74,Cake,"Excuse Me, I Think I've Got A Heartache  
From Wheels-EP (iTunes exclusive)  
  
They just don't know how lost I feel without you  
My teardrops never see the light of day  
I laugh and joke and paint a bright tomorrow  
But if I told the truth I'd have to say...  
  
Excuse me, I think I've got a heartache  
There's an aching deep inside  
And it just won't be denied  
  
Excuse me, I think I've got a heartache  
And I'd better say goodbye  
Before I cry  
  
I guess it's pride that makes me hide my sorrow  
I live a lie in all I do and say  
My lips may lie and paint a bright tomorrow  
But if I told the truth I'd have to say...  
  
Excuse me, I think I've got a heartache  
There's an aching deep inside  
And it just won't be denied  
  
Excuse me, I think I've got a heartache  
And I'd better say goodbye  
Before I cry

",/c/cake/excuse+me+i+think+ive+got+a+heartache_20826832.html,"Excuse Me, I Think I've Got A Heartache"
1981,0.896,5LtcaeznPdGln8YafkV8bh,108.962,0.591,Journey,"Find myself all alone  
In darkness without you  
Now I can't turn away  
From what I must do  
You know I'd give my life for you  
More than words can say  
I've shown you how to love someone  
I know you'll find a way  
  
Say goodbye  
Close your eyes  
Remember me  
Walk away  
The sun remains  
Remember me  
  
I'll live on somewhere in your heart  
You must believe  
Remember me  
  
No way I can change my mind  
I don't have the answers  
If you could see through my eyes  
You'd let go of your fears  
And though I have to leave you now  
With the thought of each other  
I miss your touch  
You call my name  
I am with you forever  
  
Say goodbye  
Close your eyes  
Remember me  
Walk away  
The sun remains  
Remember me  
  
With the change we can't explain  
Remember me  
  
I'll live on somewhere in your heart  
You must believe  
Remember me  
  
You know I'd give my life for you  
More than words can say  
I showed you how to love someone  
I know you'll find a way  
  
Say goodbye  
Close your eyes  
Remember me  
Walk away  
The sun remains  
Remember me  
  
Be there to watch over you  
Remember me  
Feel I'm gone  
My heart lives on  
Remember me  
  
Don't you think of this as the end  
I'll come into your dreams  
Remember me  
  
Close your eyes....  
Say goodbye....  
Remember me  
Say you will  
Say you will  
Say you will  
  
Close your eyes  
Remember me  
Say you will  
Say you will  
Say you will  
  
Say goodbye  
Remember me

",/j/journey/remember+me_20075870.html,Remember Me
1982,0.41,0657zNfXjVBYD16E9OFsNd,80.398,0.824,Nitty Gritty Dirt Band,"In 1814 we took a little trip,  
Along with colonel Jackson down the mighty Mississippi.  
We took a little bacon and we took a little beans,  
And we fought the bloody British in the town of New Orleans.  
  
We fired our guns and the British kept a comin',  
There wasn't 'bout as many as there was awhile ago.  
We fired once more and they began to runnin'  
On down the Mississippi to the gulf of Mexico.  
  
Oh we looked down the river and we seen the british come.  
There must have been a hundred of 'em beatin' on a drum.  
They stepped so high and they made their bugles ring.  
We stood behind our cotton bales and didn?t say a thing.  
  
Old hickory said we could take 'em by surprise,  
If we didn't fire our muskets till we looked 'em in the eyes.  
We held our fire till we seen their faces well,  
Then we opened up our squirrel guns and gave 'em a little, well, we  
  
Fired our guns and the British kept a comin',  
There wasn't 'bout as many as there was awhile ago.  
We fired once more and they began to runnin'  
On down the Mississippi to the gulf of Mexico.  
  
We fired our cannons till the barrels melted down,  
Then we grabbed an alligator and we fired another round.  
We filled his head with cannonballs and powdered his behind,  
And when we touched the powder off, the gator lost his mind.  
  
We fired our guns and the British kept a comin',  
There wasn't 'bout as many as there was awhile ago.  
We fired once more and they began to runnin'  
On down the Mississippi to the gulf of Mexico.  
  
We fired our guns and the British kept a comin',  
There wasn't 'bout as many as there was awhile ago.  
We fired once more and they began to runnin'  
On down the Mississippi to the gulf of Mexico.

",/n/nitty+gritty+dirt+band/battle+of+new+orleans_20101229.html,Battle Of New Orleans
1983,0.287,2Mn2MuyqxbzZwnxRX1p8kY,117.955,0.253,Elton John,"In the quiet silent seconds I turned off the light switch  
And I came down to meet you in the half light the moon left  
While a cluster of night jars sang some songs out of tune  
A mantle of bright light shone down from a room  
  
Come down in time I still hear her say  
So clear in my ear like it was today  
Come down in time was the message she gave  
Come down in time and I'll meet you half way  
  
Well I don't know if I should have heard her as yet  
But a true love like hers is a hard love to get  
And I've walked most all the way and I ain't heard her call  
And I'm getting to thinking if she's coming at all  
  
Come down in time I still hear her say  
So clear in my ear like it was today  
Come down in time was the message she gave  
Come down in time and I'll meet you half way  
  
There are women and women, and some hold you tight  
While some leave you counting the stars in the night.

",/e/elton+john/come+down+in+time_20046932.html,Come Down In Time
1984,0.65,09lqmgrszQIGrS5tFlrmhE,143.922,0.685,Lil Wayne,"[hook:]  
If I don't nothin' I'm a ball  
I'm countin' all day like a clock on the wall  
Now go and get your money little duffle bag boy  
Said go and get your money little duffle bag boy get money  
And I ain't ever ran from a nigga and I  
Damn sho' ain't bout to pick today to start runnin'  
Look honey I ain't never ran from a nigga and I  
Damn sho' ain't bout to pick today to start runnin' get money  
  
The beat so hot the flow is so ice cold  
Walkin' to the Gucci store honey I'm home  
I am on my shit I need a pamper on me  
Toilet paper on the side for example homie  
I, get, money  
I know you niggas ain't heard no shit like this and  
While you wishing on that fallin' star I'm in a foreign car  
Smoking out with the doors ajar  
Suede sun roof hangin' out the big top  
We leave the dealership head to the rim shop  
You niggas barely dressin' I got thousands piling  
That's that salad dressin' I'm on my thousand island  
Wildin' stylin' I be I get so much money its my i.d  
Don't try me and if I dont do nuthin' I'm a fuckin' ball  
And I ain't bout to start runnin' naw nigga naw  
  
[Chorus]  
  
Ain't nothin' to a boss we ballin' when you see us  
We hear them haters callin' they too far off to see us  
Unless they got they glasses on get your bifocal game  
Class is now in session now try to stay focus mane  
Your boy ain't good enough style ain't hood enough  
Would've could've should've wont do with us true enough  
Need a hoe break a hoe never nuthin' new to us  
Turnin' hoes to house wives never been cool with us  
Soon enough all these dealers are gonna catch up  
Till then fuck it I'm winnin' so I'm a stack up  
Flows like a river the current is so rapid  
Hit with the ratchet thats how shit happens  
Next time you're yappin' make sure it be about that big money talk  
Let that lil' money walk call me what you want but don't call me for front  
Southside I got what you want come holla at me  
  
[Chorus: x2]

",/l/lil+wayne/duffle+bag+boy_20653886.html,Duffle Bag Boy
1985,0.827,1ym9BYM3Esm6FDTu1iqrdR,106.063,0.678,Michael W. Smith,"There's not a world of difference  
Out in the world tonight  
Between this world of people  
Red, Yellow, Black and White  
But instead of riding a rainbow of love  
We still are fighting with prejudice gloves  
Of anger  
With something to claim  
But nothing to gain so  
  
[Chorus]  
Why can't we be color blind  
You know we should  
Be living together  
And we'd find a reason and rhyme  
I know we would  
Cause we could see better  
If we could be color blind  
  
Somebody's just assuming  
He's up to nothing good  
Cause he's not like the others  
There goes the neighborhood  
What kind of world are we living in  
When we judge a man by the tone of his skin  
It's crazy  
Cause he has a heart  
Like you have a heart and  
  
[Chorus]  
  
It'd be so fine  
To be color blind  
To open our eyes  
And see color blind  
  
I know this world would be a better place  
The only race would be the human race  
All of those barriers would be erased  
Why can't we be color blind  
  
[Chorus]

",/m/michael+w+smith/color+blind_20093052.html,Color Blind
1986,0.572,75rmumsiSF5oTfWdqiqXSb,117.847,0.238,HIM,"Should've known how hard it is to stop tearing each other apart  
Separating souls entwined with all these labyrinthine lies  
  
I am dead to you, a shadow doomed  
My love, forever in the dark  
And of all untruths the truest is you  
Too close to my heart  
  
This emptiness I've made my home  
Embracing memories of dreams long gone  
One last caress from the corpse of love is all I want  
Underneath the cyanide sun  
  
We've sailed the seas of grief on a raft built with our tears  
Looking for a way to disappear for a moment from our deepest fears  
  
I'll be drowning you in this river of gloom  
Forever in my heart

",/h/him/cyanide+sun_20447403.html,Cyanide Sun
1987,0.776,5DiLmxOrzs00xjvVNRaYBn,132.989,0.723,Frank Zappa,"Chop a line now  
Cocaine decisions  
You are a person with a snow job  
You got a fancy gotta-go job  
Where the cocaine decision that you make today  
Will mean that millions somewhere else  
Will do it your way  
  
Cocaine decisions  
You are a person who is high class  
You are a person not in my class  
And the cocaine decision that you make today  
Will mean nothing later on  
When you get nose decay  
  
I don't want to know  
'Bout the things that you pull  
Outta your nose  
Or where they goes  
But if you are wasted  
From the stuff you're stickin' in it  
I get madder every day  
'Cause what you do 'n what you say  
Affects my life in such a way  
I learn to hate it every minute!  
  
I don't want to know  
'Bout the things that you pull  
Outta your nose  
Or where they goes  
But if you are wasted  
From the stuff you're stickin' in it  
I get madder every day  
'Cause what you do 'n what you say  
Affects my life in such a way  
I learn to hate it every minute!  
  
Cocaine decisions  
You are a doctor or a lawyer  
You got an office with a foyer  
And the cocaine decision that you make today  
Will not be discovered till it's over 'n done  
By the customers you hold at bay  
  
Cocaine decisions  
You are a movie business guy  
You got accountants who supply  
The necessary figures  
To determine when you fly  
To Acapulco  
Where all your friends go  
  
Cocaine decisions  
We must watch the stuff you make  
You have let us eat the cake  
While your accountants tell you Yes Yes Yes  
You make EXPENSIVE UGLINESS  
(How do you do it? Let me guess)  
Cocaine decisions  
Cocaine decisions  
Cocaine decisions  
Cocaine decisions  
Cocaine decisions  
Cocaine decisions  
Cocaine decisions  
Cocaine decisions

",/f/frank+zappa/cocaine+decisions_20056968.html,Cocaine Decisions
1988,0.696,2iA8RRYseF4Nif8UxWfNXR,130.091,0.767,Nicki Minaj,"Stepped in the party like my name was ""that bitch"".  
All these haters mad because I'm so established.  
They know I'm a beast, yeah I'm a fucking savage  
Haters you can kill yourself, uh  
In my space shuttle and I'm not coming down  
I'm a stereo and she's just so monotone  
Sometimes it's just me and all my bottles all alone  
I ain't coming back this time.  
  
I can't believe it, it's so amazing.  
This club is heating, this party's blazing.  
I can't believe it, this beat is banging.  
I can't believe it, I can't believe it.  
  
[Chorus]  
(Hey) Check it out  
Check it out  
Check it out  
Check it out  
Check it out  
Check it out  
Check it out  
Check it out  
Check it out  
Check it out  
(Yeah yeah, I'm feeling it now)  
Check it out  
Check it out  
Check it out  
  
Step up in the party like my name was Mr. T  
All these hating naggers ain't got natin' on me.  
Honestly I gotta stay as fly as I can be  
If you Wiki Willy then you get super O.G.  
Honeys always rush me cause I'm fly, fly, fly  
Dummies they can't touch me cause I'm floating sky high  
I stay swagger-ific you don't need to ask why  
You just gotta see with your eyes  
  
I can't believe it, it's so amazing.  
This club is heating, this party's blazing.  
I can't believe it, this beat is banging.  
I can't believe it, I can't believe it.  
  
(Hey) Check it out  
Check it out  
Check it out  
Check it out  
Check it out  
Check it out  
Check it out  
Check it out  
Check it out  
Check it out  
(Yeah yeah, I'm feeling it now-ow)  
Check it out  
Check it out  
Check it out  
Check this mother-fucker out!  
It got me in the club, in the club,  
Just rocking like this oh oh  
  
The DunDun  
The sun done  
Yep, the sun done  
Came up, but we still up in dungeon  
The DunDun  
Yep, in London  
Competition, why yes I would love some  
How the fuck they get mad cause they run done.  
Mad cause I'm getting money in abundance  
Man I can't even count all of these hundreds  
Duffle bag every time I go to SunTrust  
I leave the rest just to collect interest  
I mean interest  
Fuck my nemesis  
Exclamation just for emphasis  
And I don't sympathize, cause you a simple bitch  
I just pop up on these hoes on some pimple shit  
And put the iron to your face you old wrinkled bitch  
  
Oh we just had to kill it  
We on the radio hotter than a skillet  
We in the club making party people holla  
Money in the bank we be getting top dollar  
I'm a big baller,  
You a little smaller  
Step up to my level  
Need to grow a little taller  
I'm shot caller  
Get up off my collar  
You a Chihuahua  
I'm a Rottweila'  
  
I can't believe it, it's so amazing.  
I can't believe it, this beat is banging.  
I can't believe it, it's so amazing.  
I can't believe it, I can't believe it.  
  
(Hey) Check it out  
Check it out  
Check it out  
Check it out  
Check it out  
Check it out  
Check it out  
Check it out  
Check it out  
Check it out  
(Yeah yeah, I'm feeling it now)  
Check it out  
Check it out  
Check it out

",/n/nicki+minaj/check+it+out_20887805.html,Check It Out
1989,0.349,6fiqsBY6p3ePVJuwcOJoQB,88.797,0.378,Grateful Dead,"Cosmic Charlie how do you do  
Truckin' in style along the avenue  
Dum de dum de do da lee do  
Go on home your mama's calling you.  
  
Calico Cal, ya come tell me the news  
Calamity's waiting for a way to get to her  
Rosey red and electric blue  
I bought you a paddle for your paper canoe.  
  
Say you'll come back when you can  
Whenever your airplane happens to land  
Maybe I'll be back here too  
It all depends on what's with you.  
  
Woke up waiting for a windy day  
Cat on I ? since the first of February  
Mama keeps saying that the wind might blow  
But standing here I say I just don't know.  
  
New ones come in as the old ones go  
Everything's moving here but much too slowly  
A little bit quicker and we might have time  
To say how do you do before we left behind.  
  
Calliope wail like a seaside zoo  
The very last lately inquired about you  
It's really very one or two  
The first you wanted the last I knew.  
  
I just wonder if you shouldn't feel  
Less concerned about the people unreal  
The very first word is how do you do  
The last go home your mama's calling you.  
  
Calling you oh, oh, oh, oh, h,  
Calling you oh, oh, oh,  
Calling you oh, oh, oh,  
Calling you oh, oh, oh  
  
Calling you oh, oh, oh,  
Go on home your mama's calling you  
Calling you oh, oh, oh,  
Go on home your mama's calling you  
Calling you oh, oh, oh,  
Go on home your mama's calling you  
Go on home your mama's calling you

",/g/grateful+dead/cosmic+charlie_20062306.html,Cosmic Charlie
1990,0.445,0IvhvxdL1gqpPg6Qp3w15i,96.623,0.724,Waylon Jennings,"Surely you know by now my heart is wild I don't want to be tied down it ain't
my style  
Don't you think I know better world is kind of other too dis-selfish  
Well I can't help it I'm destiny's child  
I couldn't began to tell you if I try admit so much to love before a little
while  
  
Tried to remember all of the good love I wish you understood love  
I ain't no good love I'm destiny's child destiny's child destiny's child  
  
I could be on my way now please don't cry  
Gotta be somewhere else I don't know why  
Keep thinkin' of all I'm losin' I know your lips're soothin'  
I gotta be movin' I'm destiny's child  
  
I must wish you well and say goodbye I wish you moons and stars and sunny
skies  
You gave me so much to believe in my life has a little more meanin'  
Still I'm leavin' I'm destiny's child destiny's child destiny's child

",/w/waylon+jennings/destinys+child_20190460.html,Destiny's Child
1991,0.698,7FF7kDaa3Pg0dq66QnhuGW,137.349,0.45,Pet Shop Boys,"Well I don't know why I was dreaming about you  
But I do know that I was dancing without you  
Then you smiled, and I was lost  
You fall in love, why count the cost?  
  
All I gave to you  
All you made me do  
I react when I hear people ask  
  
[Chorus]  
Was it worth it?  
Yes it's worth living for  
Was it worth it?  
Yes it's worth giving more  
  
If I'd had my way this would have happened much sooner  
But until that day it was only a rumour  
All at once you changed my life  
And led me in to paradise  
  
Where I had to do  
What I wanted to  
I react when I hear people ask  
  
[Chorus]  
  
I reserve the right to live  
My life this way, and I don't give  
A damn when I hear people say  
I'll pay the price that others pay  
  
Because it's worth it  
Yes it's worth living for  
Because it's worth it  
Yes it's worth living for  
  
All I gave to you  
All you made me do  
I react when I hear people ask  
  
[Chorus]  
  
And I reserve (what?)  
The right to live (where?)  
My life this way (how?)  
I couldn't give  
A damn when I (what?)  
Hear people say (who?)  
I'll pay the price  
That others pay  
  
[Chorus]  
  
I don't know why  
I never thought I'd fall in love  
I don't know why  
I don't know why  
I never thought I'd fall in love  
I don't know why  
I don't know why

",/p/pet+shop+boys/was+it+worth+it_20107151.html,Was It Worth It?
1992,0.916,6z5CQrUCXdLWW2sKT5boK4,139.285,0.137,Hillsong United,"Holy Spirit, Touch Your people  
Teach us the ways of God  
And as we live, As Jesus did  
You are honored and lifted up  
There's a stirring in the Spirit  
There's an urgency in this hour  
We as children must obey  
Can you hear  
The footsteps of God  
God is moving, God is moving  
Can you hear the sound  
Of revival  
As we praise You, as we sing  
Draw near to us O God  
As we cry out for the nations  
Pour out revival in the land  
There's a stirring in the Spirit  
There's an urgency in this hour  
We as children must obey  
Can you hear  
The footsteps of God

",/h/hillsong+united/god+is+moving_20204082.html,God Is Moving
1993,0.831,5IOUNrN8E37eLGdLNRr9aC,170.053,0.613,Our Lady Peace,"Throw away the radio suitcase  
That keeps you awake  
Hide the telephone in case, you realize that sometimes you're not okay  
You level off but its not all right now  
You need to understand  
There's nothing strange about this  
You need to know your friends  
I'll be waving my hand watching you drown  
Watching you scream  
Quiet or loud  
Maybe you should sleep  
Maybe you just need a friend  
As clumsy as you've been  
There's no one laughing  
You will be safe in here  
Throw away this very old shoelace that tripped you again  
Try and shrug it off  
It's only skin now  
You need to understand  
There's nothing fake about this  
You need to let me in  
I'm watching you

",/o/our+lady+peace/clumsy_20103709.html,Clumsy
1994,0.48,28wqYsMscw0suaBW24Dlrm,130.019,0.417,Pet Shop Boys,"After being for so many years  
The life and soul of the party  
It's weird  
I'm invisible  
Whatever I  
Have said and done  
Doesn't matter in this chatter  
And hum  
I'm invisible  
  
I'm here  
But you can't see me  
I'm invisible  
It's queer  
How gradually  
I've become  
Invisible  
  
Look at me  
The absentee  
Disappearing finally  
Goodbye  
Is it magic or the truth?  
Strange psychology?  
Or justified  
  
Can you hear me?  
Can you see me?  
Am I really even here?  
  
It's too late  
To find an excuse  
The party's over  
And I'm not much use  
Tonight  
Am I tragic or a joke  
Wrapped in my invisibility cloak?  
Well, quite.  
  
I'm here  
But you can't see me  
I'm invisible  
It's queer  
How gradually  
I've become  
Invisible  
  
It's a journey so they say  
But in this desert I was only a hazy, lazy mirage anyway

",/p/pet+shop+boys/invisible_21023078.html,Invisible
1995,0.198,2YzXtcrAqOiFt4RZ9IaBxA,105.006,0.0767,Steve Miller Band,"Close your eyes  
Rest your head  
Let your spirits rise  
Sleepy head  
Rest your mind  
It's been well fed  
You can be what you want to  
And it doesn't matter who you are  
It doesn't matter where you are  
If you wish upon a star  
If you wish upon a star  
And it doesn't matter who you are  
It doesn't matter where you are  
If you wish upon a star  
If you wish upon a star  
Close your eyes  
Say goodnight  
Hug your lover  
Real tight  
Let your dreams  
Into your heart  
Let your dreams take flight  
And it doesn't matter who you are  
It doesn't matter where you are  
If you wish upon a star  
If you wish upon a star  
It doesn't matter who you are  
It doesn't matter where you are  
If you wish upon a star  
If you wish upon a star  
It doesn't matter who you are  
It doesn't matter where you are  
If you wish upon a star  
If you wish upon a star  

",/s/steve+miller+band/wish+upon+a+star_20339576.html,Wish Upon A Star
1996,0.563,6GuNo2AQdIZiIKyI0Ayr4y,118.979,0.771,Kate Bush,"This chapter says  
""Put it out of your mind""  
Give it time  
  
The fine purple  
The purest gold  
The red of the Sacred Heart  
The gray of a ghost  
The ""L"" of the lips are open  
To the ""O"" of the host  
The ""V"" of the velvet  
  
Of all of the people in the world  
Why should I love you?  
There's just something 'bout you  
There's just something 'bout you  
Of all the people in the world  
Why should I love you?  
  
Have you ever seen a picture  
Of Jesus laughing?  
Mmm, do you think  
He had a beautiful smile?  
A smile that healed  
  
Of all the people in the world  
Why should I love you?  
There's just something 'bout you  
There's just something 'bout you  
Of all the people in the world  
Why should I love you?  
Of all the people in the world  
Why should I love you?  
  
The fine purple  
The purest gold  
The red of the Sacred Heart  
The gray of a ghost  
The ""L"" of the lips are open  
The ""O"" of the host  
The ""V"" of the velvet  
The ""E"" of my eye  
The eye in wonder  
The eye that sees  
The ""I"" that loves you  
  
Of all the people in the world  
Why should I love you?

",/k/kate+bush/why+should+i+love+you_20077259.html,Why Should I Love You
1997,0.323,1qJzaS9qLb5hR7INzRxE3j,140.065,0.373,Erik Santos,"You are safe here in my arms  
Never fear i'll be beside you  
Feel my love, touching your soul  
Holding you close as I whisper to you  
  
I will never leave you hold on tight  
Promise to stay forever by your side  
I will never leave you promise I'll  
Stay forever I will never leave you behind  
  
Stay with me and you will see  
I will be the one you've been dreamin  
I won't hurt the heart that you've given me  
You'll never be wounded in my arms I promise  
  
I will never leave you hold on tight  
Promise to stay forever by your side  
And I will always love you promise I'll  
Stay forever I will never leave you behind  
  
And every moment, every minute, every hour of my life  
I intend to live my whole life with you  
I will be your home and you'll be safe forever in my arms  
And we'll make it through  
  
I will never leave you hold on tight  
Promise to stay forever by your side  
I will never leave you promise I'll  
Stay forever I will never leave you behind......  
  
(hold on tight promise to stay forever by your side)  
I'll be with you... Whenever, wherever, whenever..  
(and I will never leave you promise i)  
Promise I'll stay forever  
I will never leave you behind....  
  
You are safe here in my arms  
'coz I will never leave you  
Leave you behind.....

",/e/erik+santos/i+will+never+leave+you_20543463.html,I Will Never Leave You
1998,0.865,6uQHMYQq225jUcmq20I7Tn,141.824,0.431,Nick Cave,"Jangling Jack  
Goes Yackety Yack  
Visits the home of the brave  
Hails a fat yellow cab  
Jack wanna celebrate  
Jack wanna big drink  
Driver drops him at a bar  
Called the Rinky Dink  
Jack pushes through the door  
And crosses the floor  
Tips his hat to a man  
Grinning in the corner  
Going Do da do Do da do  
Says, I'm Jangling Jack  
I go Do da do  
I wanna Rinky Dink Special  
I wanna little umbrella too  
Jack flops on his stool  
Sees the grinning man laugh  
So Jack laughs back  
Jack raises his glass  
Says, God bless this country  
And everything in it  
The losers and the winners  
The good guys and the sinners  
The grinning man says, Buddy  
It's all Yackety Yack  
Whips out a little black pistol  
Shoots a bullet in Jack  
Jangling Jack  
Do Da Do Do Da Do  
Jangling Jack  
How do you Do Da Do  
Jangling Jack Flies off his seat  
Crashes through the door  
Lands in a heap on the street  
Hears his mother's voice  
Going, Do do do  
Jack is shouting  
Mummy is that you?  
He sees the berserk city  
Sees the dead stacked in piles  
Sees the screaming crowd  
Screams, Where am I?  
Going Do da do Going Do da do  
Well Jangling Jack  
As a matter of fact  
Crawls through the crowd  
Back into the bar  
Jack crawls to his stool  
Jack drags himself up  
Falls back down on his arse  
In a puddle of blood  
Going Goodbye Mummy  
Goodbye Goodbye  
Jack doubles over  
And he vomits and dies  
Going Do do do Going Do do do

",/n/nick+cave/jangling+jack_20591212.html,Jangling Jack
1999,0.657,7LNs8lBvSiWnwCjMLDafJb,119.973,0.961,Zucchero,"The shadow dance  
Is ready now to take us over  
I don't know why  
I don't know why  
  
The moon's alive  
The sun has gone and run for cover  
Burning blind  
Burning blind  
  
Darkness waits  
I'm dancing with the devil's lover  
To pass the time  
To pass the time  
  
And all of this is just a game  
We tell each other  
Alleluja  
She'll always try to rule ya  
  
She'll be laughing, at the night  
But don't you let that fool ya  
She said she came from far away  
To find a lover  
  
I don't know why  
I don't know why  
She said she knew  
That we would always be together  
  
And then she cried  
And then she cried  
I spend my nights in wonder  
If I'll ever know her  
  
She's in my mind  
She's in my mind  
She laughs and turns smiles  
And blushes like a flower  
  
Alleluja  
She'll always try to rule ya  
She'll be laughing  
Lauging at the night  
  
Alleluja  
You'll need to find the answer  
Bur neon doesn't shed  
That kind of light  
  
But don't you let that fool ya

",/z/zucchero/alleluja_20237481.html,Alleluja
2000,0.615,5YXlhVOYojt3rTsUbZXxMs,117.983,0.897,"Harry Connick, Jr.","Now, something you got makes me work all day  
Girl something you got makes me bring home my pay  
Now, something you got you ought to know  
My, my woah, woah, I love you so  
  
Hey, something you got makes the world go on  
Now, something you got keeps me happy all the time  
Now, something you got you ought to know  
My, my, my, woah, woah, I love you so  
  
Hey, something you got keeps me home every night  
Well, now, something you got makes everythin' all right  
Ooh, something you got, you ought to know now  
Well, my, my woah, woah, I love you so, say it again, say it again now  
My, my woah, woah, I love you so, oh, oh  
My, my, my woah, woah, I love you so

",/h/harry+connick+jr/something+you+got_20820735.html,Something You Got
2001,0.936,59LRO7m84jbrpSaaRxylIi,124.997,0.541,Jennifer Lopez,"Took a shot, with the bad boy from the block  
Picked my love right from the start  
Mister wrong, he plays his part  
Back to the beginning, now round two  
Try my luck with something new  
We danced until we said, ""I do""  
My luck is bad, no more us, two  
No me and you  
  
[Chorus]  
Is it too much to ask  
For a real love,  
Something that'll last?  
Is there one love?  
Only once in a lifetime?  
It's so hard to find  
The perfect one to call mine  
Is there one love?  
Somebody that compliments me?  
And makes me wanna never leave?  
Made just right for me?  
Is there one love, one love,  
One love, one love?  
  
It's take three, could there be a part for me?  
Came and swept me off my feet  
Went nowhere but kept the ring  
Once again I'm lonely  
Number four, he sang to me but I'm not sure  
So worn out, but love just saw  
Made me wanna try once more  
And I couldn't say no  
  
[Chorus]  
  
What's wrong with the girl  
Who wanted everything  
Good love, real trust, true meaning?  
Who truly completes me?  
I'm good on my own, but I have to know  
  
Is there one love  
Only once in a lifetime?  
It's so hard to find  
The perfect one to call mine  
Is there one love?  
Somebody that compliments me?  
And makes me wanna never leave?  
Made just right for me?  
  
Is there one love, one love,  
One love, one love?  
Is there one love, one love,  
One love, one love?  
Is there one love?

",/j/jennifer+lopez/one+love_20915703.html,One Love
2002,0.696,3PDGjfObUqTjMu2d70aeLw,138.27,0.109,Marillion,"Heading for the great escape  
Heading for the rave  
Heading for the permanent holiday  
  
Heading for the winter trip  
Heading for the slide  
Heading for the dignified walk away  
  
Heading for the open road  
Goodbye to all that  
Heading for the automatic overload  
  
Standing in the open boat  
Standing in the swing  
Waiting for the ringing and the bright light  
  
Waiting to be recognised  
Quiet applause will do  
They shower you with flowers when they bury you  
  
You're holding on, you're holding on ...  
  
I. The Last of You  
Just when I thought I'd seen the last of you  
You come here scratchin' at my door  
Your pain and anger's in the howling dark  
Of every corridor I walk  
  
So tell me more about the love that you rejected  
Tell me more about the trust you disrespected  
I still don't know, why did you hurt the very one  
Why did you hurt the very one  
That you should have protected?  
  
II. Falling from the Moon  
Don't ask me why I'm doing this  
You wouldn't understand  
You're asking the wrong questions  
You couldn't understand  
  
A bridge is not a high place  
The fifty-second floor  
Icarus would know  
A mountain isn't far to fall  
  
When you've fallen  
When you've fallen from the moon  
  
There's murder on the street  
I'm ashes on the water now, somewhere far away  
I have fallen, fallen from the moon

",/m/marillion/the+great+escape_20088832.html,The Great Escape
2003,0.565,4tQcvJDrUdzuv947O4tYwX,62.078,0.59,Ultravox,"When I was boy  
There's a dream that I had  
That a war if was fought  
Was for good against bad  
And I woke up to find  
That the world had gone mad  
  
And we'd all fall down  
  
And I feel like a child again  
Sitting or turning  
You're toying with power  
Your fingers are burning  
You're pushing so hard  
That the worlds won't be turning  
  
We'll all fall down  
  
When you try to pretend  
That you're a god upon high  
With your party ideals  
And your squeaky clean lies  
When it comes to the crunch  
You're no smarter than I  
  
And we'll all fall down  
  
If it's colour of creed or all time religion  
Well fighting for that shows  
A pure lack of vision  
The fight that we strive  
Is a fight to survive  
  
And we'll all fall down  
  
Well look in the mirror  
And what do you see  
An American, Russian  
A soldier or me  
When you all press the buttons  
Just where will you be?  
  
When we all fall down

",/u/ultravox/all+fall+down_20237028.html,All Fall Down
2004,0.775,49sf5GUvej5HzY3DqxnfqX,101.894,0.845,Extreme,"Flowers, I sent,  
Were found dead on their arrival  
The words, I said,  
Inserted foot in my mouthful  
So when, we dance,  
My lead it ain't so graceful  
(isn't so, not ain't so)  
  
I'm a hapless romantic  
St-t-tuttering p-poet  
Just call me a tragic comic  
Cause I'm, in, in love with you  
  
And when, we dine,  
I forget to push in your seat  
I wear, the wine,  
Spilling hearts all over my sleeve  
A stitch, in time,  
Proposing down on my knees  
(splitting between the seams)  
  
I'm a hapless romantic  
St-t-tuttering p-poet  
Just call me a tragic comic  
Cause I'm, in, in love with you  
  
Nobody, can know the,  
Trouble I've, seen  
Nobody, can know the,  
Trouble I, get into,  
When I'm with you

",/e/extreme/tragic+comic_20052224.html,Tragic Comic
2005,0.688,2Yux0jlIjUkIqppKqe6YFo,99.998,0.569,Point Of Grace,"Can you think of the way that we used to be  
We were young, full of hopes and full of dreams  
Look around what has happened in between  
Living life can steal your hope away it seems  
  
Dream again  
Oh, you're like a child who's waiting to become  
  
[Chorus]  
The Son has come to free us  
Set your eyes on Jesus  
Your free now  
Know that you are free indeed  
To love, to live, to dream  
To love as He has loved you  
To live like He's among you  
To dream now  
Know that you are free indeed  
  
When your world is a dark and lonely place  
Turn your eyes from yourself and seek His face  
There's hope in His open arms  
And a peace that's gonna free your heart and mind  
  
Breathe again  
Oh, you're free to fly and young to run  
  
[Repeat Chorus]  
  
But for me to live is Christ  
That would be no sacrifice  
I freely give Him all my life  
  
[Repeat Chorus]

",/p/point+of+grace/free+indeed_20109842.html,Free Indeed
